e_id,src,dst,label,timestamp,feature_name,feature_value,shapley_value,explained_e_id,mode
0,754,300597,100049,0,6,2,0.0,0.0,862,exact
1,754,300597,100049,0,6,Structure,1.0,0.30368434985478243,862,exact
2,754,300597,100049,0,6,Timing,6.0,0.0,862,exact
3,755,300594,100049,0,6,2,0.0,0.0,862,exact
4,755,300594,100049,0,6,Structure,1.0,0.30368434985478276,862,exact
5,755,300594,100049,0,6,Timing,6.0,0.0,862,exact
6,759,200049,100049,0,6,2,0.0,0.0,862,exact
7,759,200049,100049,0,6,Structure,1.0,5.078273550669332,862,exact
8,759,200049,100049,0,6,Timing,6.0,0.0,862,exact
0,754,300597,100049,0,6,2,0.0,0.0,862,monte_carlo
1,754,300597,100049,0,6,Structure,1.0,0.29788559675216675,862,monte_carlo
2,754,300597,100049,0,6,Timing,6.0,0.0,862,monte_carlo
3,755,300594,100049,0,6,2,0.0,0.0,862,monte_carlo
4,755,300594,100049,0,6,Structure,1.0,0.3452334403991699,862,monte_carlo
5,755,300594,100049,0,6,Timing,6.0,0.0,862,monte_carlo
6,759,200049,100049,0,6,2,0.0,0.0,862,monte_carlo
7,759,200049,100049,0,6,Structure,1.0,5.01567268371582,862,monte_carlo
8,759,200049,100049,0,6,Timing,6.0,0.0,862,monte_carlo
0,432,300306,100025,0,4,2,0.0,0.0,610,exact
1,432,300306,100025,0,4,Structure,1.0,0.27738426923751675,610,exact
2,432,300306,100025,0,4,Timing,4.0,0.0,610,exact
3,433,300309,100025,0,4,2,0.0,0.0,610,exact
4,433,300309,100025,0,4,Structure,1.0,0.2773842692375174,610,exact
5,433,300309,100025,0,4,Timing,4.0,0.0,610,exact
6,436,200025,100025,0,4,2,0.0,0.0,610,exact
7,436,200025,100025,0,4,Structure,1.0,3.06097973187768,610,exact
8,436,200025,100025,0,4,Timing,4.0,0.0,610,exact
0,432,300306,100025,0,4,2,0.0,0.0,610,monte_carlo
1,432,300306,100025,0,4,Structure,1.0,0.275462806224823,610,monte_carlo
2,432,300306,100025,0,4,Timing,4.0,0.0,610,monte_carlo
3,433,300309,100025,0,4,2,0.0,0.0,610,monte_carlo
4,433,300309,100025,0,4,Structure,1.0,0.2758750915527344,610,monte_carlo
5,433,300309,100025,0,4,Timing,4.0,0.0,610,monte_carlo
6,436,200025,100025,0,4,2,0.0,0.0,610,monte_carlo
7,436,200025,100025,0,4,Structure,1.0,3.0218608379364014,610,monte_carlo
